朱鞠内道立自然公園,https://iko-yo.net/facilities/68402
狩勝峠,https://iko-yo.net/facilities/68404
樹海温泉はくあ,https://iko-yo.net/facilities/68410
宗円寺,https://iko-yo.net/facilities/68411
宗谷護国寺,https://iko-yo.net/facilities/68412
宗谷岬 展望台,https://iko-yo.net/facilities/68414
住友奔別炭鉱立坑櫓,https://iko-yo.net/facilities/68418
十勝ガーデンズホテル,https://iko-yo.net/facilities/68422
表門神社,https://iko-yo.net/facilities/48350
山梨岡神社,https://iko-yo.net/facilities/48362
大井俣窪八幡神社,https://iko-yo.net/facilities/48365
永昌院,https://iko-yo.net/facilities/48371
若狭鯖街道熊川宿資料館(宿場館),https://iko-yo.net/facilities/48377
八十八大師,https://iko-yo.net/facilities/48379
久遠寺水鳴楼前庭,https://iko-yo.net/facilities/48385
新府城跡,https://iko-yo.net/facilities/48388
観音山公園（韮崎市）,https://iko-yo.net/facilities/48393
大林民俗資料館,https://iko-yo.net/facilities/48396
徳富蘇峰館,https://iko-yo.net/facilities/48403
落合ダム親水広場,https://iko-yo.net/facilities/48405
岩の鼻遺跡,https://iko-yo.net/facilities/48409
笠石神社（山梨市）,https://iko-yo.net/facilities/48410
増穂浦林間広場,https://iko-yo.net/facilities/48420
名寄市スポーツセンター,https://iko-yo.net/facilities/48461
本泉寺,https://iko-yo.net/facilities/48462
黒金山,https://iko-yo.net/facilities/48478
峰観音堂,https://iko-yo.net/facilities/48484
松尾神社（甲斐市）,https://iko-yo.net/facilities/48490
敷島自然休養村,https://iko-yo.net/facilities/48493
国房坊神社,https://iko-yo.net/facilities/48494
飛尾神社,https://iko-yo.net/facilities/48496
諏訪神社（山梨市）,https://iko-yo.net/facilities/48499
妙福寺,https://iko-yo.net/facilities/48504
桃の木温泉 山和荘,https://iko-yo.net/facilities/48511
雨夜塚,https://iko-yo.net/facilities/48515
名林公園,https://iko-yo.net/facilities/48516
飛躍の郷ひだまり,https://iko-yo.net/facilities/39443
上下キリスト教会,https://iko-yo.net/facilities/39447
三浦邸,https://iko-yo.net/facilities/39449
翁座,https://iko-yo.net/facilities/39453
